ticketId,customerId,customerName,subject,department,ticketType,priority,customerTier
10000,54312,"Cheerful and Son Inc","Difficulty downloading needle missing from my page","Technical","Feature","Medium","Silver"
10001,43243,"Blue Family Inc","Couldn't find needle missing from my page","Technical","Inquiry","Medium","Gold"
10002,54365,"Mosquito Brothers Company","Can't open file in end of months","Technical","Feature","Medium","Gold"
10003,23454,"Mosquito Sisters Company","Inquiry about a customer missing from my page","Finance","Feature","Urgent","Silver"
10004,12334,"Red Brothers Company","Inquiry about a photo when no dates specified","Sale","Bug","Urgent","Bronze"
10005,23454,"Cheerful ,Moore Inc","Inquiry about a customer missing from my page","Technical","Inquiry","Medium","Bronze"
10006,98543,"Mosquito Sisters Inc","Difficulty downloading customer missing from my page","General","Feature","Urgent","Silver"
10007,98543,"Cheerful Sisters Corp","There's some file missing from my page","Sale","Feature","Low","Bronze"
10008,43345,"Blue and Son Co","Couldn't find photo when no dates specified","General","Feature","Low","Bronze"
10009,54365,"Red Brothers Inc","Difficulty downloading needle that's not too large","Sale","Feature","Medium","Bronze"
10010,01233,"Red Brothers Corp","Couldn't find needle when no dates specified","Technical","Inquiry","Medium","Silver"
10011,54365,"Cheerful Family Inc","Can't open screenshot missing from my page","General","Feature","Medium","Silver"
10012,01233,"Blue Family Ltd","Difficulty downloading screenshot missing from my page","Sale","Bug","Medium","Silver"
10013,43243,"Red Family Corp","Can't open customer when no dates specified","General","Feature","Critical","Gold"
10014,01233,"Blue Brothers Company","Can't open photo when no dates specified","Finance","Feature","Critical","Gold"
10015,23455,"Mosquito and Son Inc","Couldn't find needle in haystack","Finance","Inquiry","Urgent","Bronze"
10016,43345,"Red and Son Inc","Couldn't find customer when no dates specified","Technical","Bug","Critical","Gold"
10017,43243,"Red Brothers Inc","Can't open screenshot in haystack","Finance","Bug","Urgent","Gold"
10018,01233,"Mosquito and Son Company","Can't open file when no dates specified","Finance","Feature","Critical","Silver"
10019,23455,"Cheerful and Son Company","Inquiry about a file in end of months","Finance","Inquiry","Medium","Bronze"
10020,23455,"Red ,Moore Co","Couldn't find needle missing from my page","Technical","Bug","Medium","Bronze"
